respondent_id,year,role,city,zip,nearest_intersection,distance_to_campus_miles,trips_per_week,weeks_per_year,share_drive,share_carpool,share_bus,share_walk,share_bike,share_tele,mode_primary,is_ev_user,is_ebike_user,mtcde_est,total_trips_est,state,lat,lng
S_2022-23_00318,2022,Student,McKinleyville,95519,Bates Rd & Central Ave,9.1,10,32,0.5,0.1,0.1,0.2,0.1,0.0,Drive Alone,False,True,2.51,310,California,40.9483062,-124.1009696
S_2021-22_00155,2021,Student,McKinleyville,95519,School Rd & Murray Rd,8.32,8,30,0.38,0.0,0.25,0.12,0.12,0.12,Drive Alone,True,False,1.86,253,California,40.9565052,-124.0884417
S_2022-23_00457,2022,Student,Trinidad,95570,Edwards St & Main St,8.62,10,30,0.3,0.1,0.1,0.3,0.1,0.1,Drive Alone,False,True,1.76,296,California,41.0613826,-124.1408696
S_2021-22_00481,2021,Student,McKinleyville,95519,Murray Rd & School Rd,-5.0,9,31,0.33,0.11,0.11,0.22,0.11,0.11,Drive Alone,True,yes,1.95,279,California,40.9565052,-124.0884417
S_2021-22_00278,2021,Student,Arcata,95521,G St & LK Wood Blvd,0.2,8,31,0.12,0.12,0.12,0.39,0.12,0.12,Walk,False,False,0.41,241,California,40.8812851,-124.0807088
F_2020-21_00199,2020,Faculty,Fortuna,95540,Main St & Rohnerville Rd,25.41,6,33,0.17,0.0,0.0,0.17,0.0,0.66,Telecommute,True,False,0.21,198,California,40.5963869,-124.1456576
S_2022-23_00145,2022,Student,Fortuna,95540,Newburg Rd & Rohnerville Rd,26.06,10,32,0.71,0.0,0.1,0.14,0.05,0.0,Drive Alone,yes,False,3.72,318,California,40.5928289,-124.1397633
S_2022-23_00345,2022,Student,McKinleyville,95519,Hiller Rd & Murray Rd,9999.99,11,31,0.36,0.09,0.09,0.27,0.09,0.09,Drive Alone,False,False,2.3,336,California,40.9416402,-124.1141313
S_2020-21_00465,2020,Student,Fortuna,95540,Kenmar Rd & Newburg Rd,22.22,5,28,0.4,0.0,0.0,0.2,0.0,0.4,Telecommute,False,False,0.78,147,California,40.5931202,-124.1389979
S_2024-25_00180,2024,Staff/Admin,McKinleyville,95519,Hiller Rd & School Rd,11.42,10,50,0.7,0.2,0.0,0.0,0.0,0.1,Drive Alone,False,False,2.99,515,California,40.9416402,-124.1141313
S_2022-23_00106,2022,Staff/Admin,Arcata,95521,G St & H St,0.85,9,50,0.6,0.1,0.0,0.1,0.1,0.1,Drive Alone,False,False,0.51,439,California,40.861525,-124.0885001
S_2021-22_00337,2021,Student,Blue Lake,95525,South Rail St & Hatchery Rd,6.01,9,30,0.44,0.11,0.0,0.22,0.11,0.11,Drive Alone,False,False,1.42,260,California,40.87907,-123.99185
S_2023-24_00110,2023,Student,Trinidad,95570,Patrick Point Dr & Main St,6.93,9,31,0.4,0.2,0.1,0.2,0.0,0.1,Drive Alone,False,False,2.13,297,California,41.061808,-124.1399422
S_2023-24_00045,2023,Student,Blue Lake,95525,Hatchery Rd & Chartin Rd,6.76,10,32,0.5,0.0,0.1,0.2,0.1,0.1,Drive Alone,False,False,2.3,332,California,40.87907,-123.99185
S_2023-24_00553,2023,Student,Eureka,95501,H St & J St,10.56,8,33,0.25,0.12,0.25,0.25,0.12,0.0,Drive Alone,False,False,2.19,268,California,40.7935488,-124.1617302
S_2023-24_00259,2023,Staff/Admin,Fortuna,95540,Main St & Kenmar Rd,24.54,10,49,0.8,0.1,0.0,0.0,0.0,0.1,Drive Alone,False,False,3.37,479,California,40.5774879,-124.1398112
S_2020-21_00140,2020,Staff/Admin,Eureka,95501,6th St & K St,9.76,6,45,0.33,0.0,0.0,0.0,0.0,0.67,Telecommute,False,True,0.75,275,California,40.8018484,-124.16029
S_2022-23_00518,2022,Student,Trinidad,95570,Patrick Point Dr & Edwards St,7.78,10,31,0.4,0.1,0.1,0.2,0.1,0.1,Drive Alone,False,False,2.17,315,California,41.0623308,-124.1404789
S_2023-24_00247,2023,Staff/Admin,Arcata,95521,Janis Ct & G St,1.68,10,47,0.7,0.1,0.0,0.0,0.0,0.2,Drive Alone,False,False,0.58,455,California,40.8699965,-124.0853123
S_2021-22_00420,2021,Student,McKinleyville,95519,School Rd & Hiller Rd,9.77,9,31,0.33,0.0,0.11,0.33,0.11,0.11,Drive Alone,False,False,1.83,266,California,40.9416402,-124.1141313
S_2023-24_00578,2023,Student,McKinleyville,95519,Murray Rd & School Rd,9999.99,9,33,0.44,0.11,0.22,0.22,0.0,0.0,Drive Alone,False,False,3.16,297,California,40.9565052,-124.0884417
S_2023-24_00412,2023,Student,Blue Lake,95525,Chartin Rd & Greenwood Ave,12.52,10,30,0.4,0.1,0.1,0.2,0.1,0.1,Drive Alone,False,False,3.62,308,California,40.8843524,-123.9910897
S_2024-25_00011,2024,Student,Arcata,95521,14th St & Union St,-5.0,7,32,0.45,0.09,0.18,0.18,0.09,0.0,Telecommute,True,True,2.01,346,California,40.87119690000001,-124.076954
F_2023-24_00048,2023,Faculty,McKinleyville,95519,Central Ave & Hiller Rd,9.83,9,39,0.44,0.11,0.0,0.11,0.22,0.11,Drive Alone,False,False,0.66,362,California,40.9421123,-124.1009677
S_2023-24_00353,2023,Student,Fortuna,95540,Newburg Rd & Kenmar Rd,25.11,10,33,0.44,0.06,0.28,0.11,0.06,0.06,Drive Alone,False,False,3.92,326,California,40.5931202,-124.1389979
S_2022-23_00777,2022,Student,Trinidad,95570,Trinity St & Patrick Point Dr,11.35,11,30,0.46,0.05,0.29,0.15,0.05,0.0,Drive Alone,False,False,3.2,320,California,41.059999,-124.1431428
S_2023-24_00435,2023,Student,Trinidad,95570,Edwards St & Main St,11.26,10,32,0.4,0.1,0.2,0.2,0.1,0.0,Drive Alone,False,False,3.52,323,California,41.0613826,-124.1408696
S_2020-21_00157,2020,Student,Trinidad,95570,Main St & Edwards St,12.65,6,29,0.17,0.0,0.0,0.17,0.0,0.66,Telecommute,False,False,0.85,169,California,41.0613826,-124.1408696
S_2020-21_00324,2020,Student,Trinidad,95570,Trinity St & Main St,7.02,5,28,0.2,0.0,0.0,0.2,0.0,0.6,Telecommute,True,True,0.58,149,California,41.0609486,-124.1430861
S_2020-21_00059,2020,Staff/Admin,Trinidad,95570,Main St & Edwards St,13.96,6,44,0.5,0.0,0.0,0.0,0.0,0.5,Telecommute,False,False,1.05,264,California,41.0613826,-124.1408696
S_2024-25_00452,2024,Student,Eureka,95501,Harris St & I St,9.38,10,31,0.44,0.06,0.28,0.11,0.06,0.06,Drive Alone,False,True,3.05,319,California,40.7803861,-124.160188
S_2021-22_00462,2021,Student,Eureka,95501,H St & K St,7.23,8,30,0.38,0.0,0.12,0.25,0.12,0.12,Drive Alone,False,False,1.59,256,California,40.793227,-124.158087
S_2023-24_00144,2023,Staff/Admin,Blue Lake,95525,Hatchery Rd & Greenwood Ave,10.32,10,50,0.7,0.2,0.0,0.0,0.0,0.1,Drive Alone,True,False,2.51,498,California,40.8843524,-123.9910897
S_2023-24_00459,2023,Student,Fortuna,95540,Kenmar Rd & Main St,17.04,11,31,0.45,0.09,0.18,0.18,0.09,0.0,Drive Alone,False,False,4.77,329,California,40.5774879,-124.1398112
S_2023-24_00239,2023,Staff/Admin,Arcata,95521,Samoa Blvd & G St,5.67,10,48,0.7,0.2,0.0,0.0,0.0,0.1,No Answer,False,False,1.41,502,California,40.8649389,-124.087213
S_2023-24_00115,2023,Staff/Admin,Trinidad,95570,Main St & Edwards St,8.78,12,47,0.67,0.25,0.0,0.0,0.0,0.08,Drive Alone,False,False,2.38,549,California,41.0613826,-124.1408696
S_2022-23_00140,2022,Staff/Admin,Arcata,95521,14th St & H St,1.4,9,50,0.78,0.22,0.0,0.0,0.0,0.0,Drive Alone,False,True,0.58,438,California,40.8730069,-124.0853038
S_2024-25_00304,2024,Student,McKinleyville,95519,School Rd & Hiller Rd,11.94,9,32,0.22,0.11,0.22,0.22,0.11,0.11,Drive Alone,yes,False,2.22,296,California,40.9416402,-124.1141313
S_2022-23_00090,2022,Staff/Admin,Blue Lake,95525,South Rail St & Greenwood Ave,9999.99,10,48,0.9,0.0,0.0,0.0,0.1,0.0,Drive Alone,False,False,2.85,476,California,40.8843524,-123.9910897
S_2023-24_00269,2023,Staff/Admin,Trinidad,95570,Patrick Point Dr & Trinity St,-5.0,10,47,0.7,0.1,0.0,0.1,0.1,0.0,Drive Alone,False,False,1.78,479,California,41.059999,-124.1431428
S_2020-21_00346,2020,Student,Trinidad,95570,Patrick Point Dr & Main St,,5,26,0.38,0.0,0.24,0.1,0.1,0.19,Telecommute,True,False,0.32,136,California,41.061808,-124.1399422
S_2022-23_00488,2022,Student,McKinleyville,95519,Central Ave & Bates Rd,11.62,11,31,0.46,0.05,0.29,0.1,0.05,0.05,No Answer,False,False,4.08,347,California,40.9483062,-124.1009696
F_2021-22_00033,2021,Faculty,Blue Lake,95525,Chartin Rd & Hatchery Rd,13.03,9,35,0.44,0.0,0.0,0.11,0.11,0.33,Drive Alone,True,True,0.67,301,California,40.87907,-123.99185
F_2024-25_00279,2024,Faculty,Blue Lake,95525,Greenwood Ave & Chartin Rd,9.93,9,39,0.56,0.11,0.0,0.11,0.11,0.11,No Answer,False,True,0.74,339,California,40.8843524,-123.9910897
S_2023-24_00331,2023,Student,Eureka,95501,H St & K St,9.36,10,32,0.3,0.1,0.2,0.2,0.1,0.1,Drive Alone,False,False,2.52,324,California,40.793227,-124.158087
S_2022-23_00647,2022,Student,Fortuna,95540,Newburg Rd & Rohnerville Rd,18.81,-10,52,0.4,0.2,0.1,0.2,0.1,0.0,Drive Alone,False,False,4.38,328,California,40.5928289,-124.1397633
S_2020-21_00167,2020,Student,McKinleyville,95519,Bates Rd & Murray Rd,13.9,6,30,0.17,0.0,0.0,0.5,0.0,0.33,Telecommute,False,False,1.03,173,California,40.9565052,-124.0884417
S_2021-22_00241,2021,Staff/Admin,Fortuna,95540,Newburg Rd & Kenmar Rd,19.47,8,46,0.84,0.0,0.0,0.0,0.0,0.16,Drive Alone,False,False,2.44,375,California,40.5931202,-124.1389979
S_2022-23_00663,2022,Student,Blue Lake,95500,Hatchery Rd & Greenwood Ave,,10,31,0.3,0.0,0.2,0.3,0.1,0.1,Drive Alone,False,False,2.44,306,California,40.87907,-123.99185
S_2021-22_00182,2021,Staff/Admin,Eureka,95501,K St & 6th St,6.54,9,46,0.75,0.0,0.0,0.0,0.0,0.25,Drive Alone,False,yes,1.23,418,California,40.8018484,-124.16029
S_2022-23_00027,2022,Staff/Admin,Eureka,95501,I St & J St,8.88,11,49,0.73,0.18,0.0,0.0,0.0,0.09,Drive Alone,False,False,2.3,526,California,40.7932093,-124.1593541
S_2022-23_00158,2022,Student,Eureka,95501,K St & 5th St,9.54,7,32,0.4,0.0,0.1,0.2,0.2,0.1,Drive Alone,False,False,2.87,317,California,40.8026919,-124.1604822
S_2023-24_00134,2023,Staff/Admin,McKinleyville,95519,Bates Rd & Hiller Rd,9999.99,11,49,0.82,0.09,0.0,0.0,0.0,0.09,Drive Alone,False,False,3.84,520,California,40.9416402,-124.1141313
F_2022-23_00174,2022,Faculty,Blue Lake,95525,Chartin Rd & Greenwood Ave,10.78,10,36,0.7,0.0,0.0,0.2,0.1,0.0,Drive Alone,False,False,0.94,351,California,40.8843524,-123.9910897
F_2024-25_00137,2024,Faculty,Arcata,95521,LK Wood Blvd & H St,3.0,-10,52,0.6,0.0,0.1,0.1,0.1,0.1,Drive Alone,False,True,0.26,345,California,40.8812851,-124.0807088
F_2022-23_00118,2022,Faculty,McKinleyville,95519,Murray Rd & Central Ave,6.45,11,38,0.73,0.09,0.0,0.09,0.09,0.0,Drive Alone,True,False,0.68,399,California,40.9562652,-124.1008478
